Hour,Access_Control,Alignment,Contributing_Factor,Lighting,Locality,Collision,Road_Type,Severity,Weather,Roadway,Damage,Dr_Age,Dr_Condition,Dr_Gender,Reason,Traffic_Control,Traffic_Condition,Violation,Posted_Speed
Off-peak,Partial Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Right Angle,One-Way Road,No Injury,Clear,Avenue,Left,25-34,Impaired,Male,Driver Condition,Other,Controls Functioning,Driver Condition,21-30 mph
Peak,Other,Straight-Level,Other,Other,Other,Right Turn,Other,No Injury,Clear,Other,Front Left,15-24,Normal,Male,Normal Movement,Other,No Controls,Exceeding speed,20 mph or less
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Other,Two-Way Road With No Physical Separation,Complaint,Cloudy,Other,Front ,15-24,Distracted,Male,Passing,Yellow Dashed Line,No Controls,Driver Error,41-50 mph
Off-peak,No Control,Curve-Level,Violations,Daylight,Other,Other,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Front ,15-24,Distracted,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Sideswipe,One-Way Road,No Injury,Clear,Avenue,Rear ,55-64,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front Left,15-24,Fatigued/Illness,Male,Driver Condition,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Sideswipe,One-Way Road,No Injury,Clear,Avenue,Front Left,45-54,Distracted,Female,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,Partial Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,25-34,Normal,Female,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,41-50 mph
Peak,Partial Control,Straight-Level,Violations,Dark - No Street Lights,Business,Left Turn,Two-Way Road With No Physical Separation,No Injury,Cloudy,Street/Lane/Road,Front ,55-64,Normal,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Business,Sideswipe,Two-Way Road With A Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,25-34,Other,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - No Street Lights,Business,Right Angle,One-Way Road,Moderate,Clear,Street/Lane/Road,Other,55-64,Distracted,Male,Driver Violation,Other,No Controls,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With A Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Street/Lane/Road,Front Left,15-24,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With A Physical Separation,Moderate,Clear,Other,Front Left,65-74,Distracted,Female,Driver Violation,Other,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,25-34,Normal,Male,Other,Yellow No Passing Line,Other,Driver Error,31-40 mph
Off-peak,No Control,Curve-Level,Violations,Dark - Continuous Street Light,Business,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front Left,35-44,Impaired,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Condition,31-40 mph
Peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Rear End,Two-Way Road With No Physical Separation,Moderate,Clear,Street/Lane/Road,None,45-54,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,55-64,Normal,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With No Physical Separation,Moderate,Clear,Avenue,Total,15-24,Unknown,Male,Normal Movement,Yellow No Passing Line,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Straight-Level,Other,Dark - Street Light At Intersection Only,Residential ,Head-On,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Other,35-44,"Physical Impairment (Eyes, Ear, Limb)",Male,Driver Violation,Other,No Controls,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,One-Way Road,No Injury,Cloudy,Street/Lane/Road,None,65-74,Distracted,Male,Driver Violation,Signal ,Controls Functioning,Driver Error,31-40 mph
Off-peak,Partial Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,One-Way Road,No Injury,Cloudy,Street/Lane/Road,Front ,15-24,Impaired,Male,Normal Movement,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,Partial Control,Straight-Level,Violations,Daylight,Business,Head-On,Other,No Injury,Clear,Boulevard,Front Left,55-64,Normal,Male,Normal Movement,Other,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Other,Two-Way Road With A Physical Separation,No Injury,Clear,Boulevard,Front ,45-54,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,On Grade,Violations,Daylight,Business,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Street/Lane/Road,Total,15-24,Normal,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,Complaint,Clear,Street/Lane/Road,Front Left,25-34,Impaired,Female,Driver Condition,White Dashed Line,Controls Functioning,Driver Condition,31-40 mph
Peak,No Control,Straight-Level,Condition Of Driver,Daylight,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,No Injury,Clear,Highway,Front ,25-34,Impaired,Female,Driver Condition,Other,No Controls,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,No Injury,Cloudy,Street/Lane/Road,Front Left,45-54,Distracted,Male,Driver Violation,Signal ,Controls Functioning,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,Complaint,Cloudy,Drive,Front ,25-34,Distracted,Female,Driver Violation,Other,No Controls,Other,41-50 mph
Off-peak,Partial Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,25-34,Other,Male,Driver Violation,Other,Controls Functioning,Driver Error,51-60 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Right Angle,One-Way Road,Complaint,Clear,Street/Lane/Road,Front ,15-24,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,Complaint,Cloudy,Drive,Rear ,25-34,Normal,Male,Driver Violation,Other,No Controls,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - No Street Lights,Business,Sideswipe,Two-Way Road With A Physical Separation,Complaint,Cloudy,Drive,Front ,25-34,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,51-60 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,55-64,Impaired,Male,Driver Condition,Signal ,Controls Functioning,Other,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Other,Head-On,Two-Way Road With A Physical Separation,Complaint,Clear,Other,Left,15-24,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,51-60 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - No Street Lights,Residential ,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Cloudy,Other,Left,55-64,Impaired,Male,Driver Condition,Yellow Dashed Line,Controls Functioning,Driver Error,51-60 mph
Off-peak,Full Control,Straight-Level,Condition Of Driver,Dark - No Street Lights,Other,Head-On,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Front ,15-24,Impaired,Female,Driver Condition,White Dashed Line,Controls Functioning,Driver Condition,61-70 mph
Off-peak,Full Control,Straight-Level,Violations,Daylight,Other,Right Angle,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Rear ,15-24,Distracted,Male,Driver Violation,Sign,Controls Functioning,Other,51-60 mph
Off-peak,No Control,Curve-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,Moderate,Clear,Other,Front ,25-34,Distracted,Male,Driver Violation,Yellow Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - No Street Lights,Other,Head-On,Two-Way Road With A Physical Barrier,Complaint,Clear,Other,Front ,35-44,Impaired,Female,Driver Condition,White Dashed Line,Controls Functioning,Driver Condition,61-70 mph
Peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Angle,Two-Way Road With A Physical Separation,Complaint,Clear,Other,Front ,45-54,Distracted,Male,Other,White Dashed Line,Controls Functioning,Other,61-70 mph
Off-peak,No Control,Straight-Level,Other,Dark - No Street Lights,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,Moderate,Rain/Fog/Sleet/Snow,Other,Front ,55-64,Normal,Male,Normal Movement,Yellow Dashed Line,Controls Functioning,No Violations,51-60 mph
Off-peak,Full Control,Straight-Level,Condition Of Driver,Dark - No Street Lights,Other,Head-On,Two-Way Road With A Physical Separation,Moderate,Clear,Other,Front ,35-44,Impaired,Female,Driver Condition,White Dashed Line,Controls Functioning,Driver Condition,61-70 mph
Peak,No Control,Straight-Level,Condition Of Driver,Daylight,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,Moderate,Clear,Other,Left,45-54,Impaired,Male,Other,Yellow Dashed Line,Controls Functioning,Driver Condition,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Other,Right Angle,Two-Way Road With No Physical Separation,Moderate,Clear,Other,Right ,15-24,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,51-60 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Daylight,Business,Left Turn,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,15-24,Impaired,Male,Driver Condition,Yellow No Passing Line,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Condition Of Driver,Daylight,Other,Other,Two-Way Road With A Physical Separation,No Injury,Clear,Other,None,45-54,Impaired,Male,Driver Condition,White Dashed Line,Controls Functioning,Driver Error,61-70 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Sideswipe,Two-Way Road With No Physical Separation,Complaint,Clear,Other,None,45-54,Distracted,Male,Driver Violation,Yellow Dashed Line,No Controls,Driver Error,51-60 mph
Peak,No Control,Straight-Level,Condition Of Driver,Daylight,Other,Head-On,Two-Way Road With No Physical Separation,Moderate,Rain/Fog/Sleet/Snow,Other,Front ,25-34,Unknown,Male,Driver Violation,Yellow Dashed Line,Controls Functioning,Driver Condition,51-60 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - No Street Lights,Other,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Other,Front ,55-64,Impaired,Male,Driver Condition,Yellow Dashed Line,Controls Functioning,Driver Condition,51-60 mph
Off-peak,No Control,Curve-Level,Violations,Dark - No Street Lights,Other,Head-On,Two-Way Road With No Physical Separation,Fatal,Cloudy,Other,Front ,45-54,Unknown,Male,Other,Yellow No Passing Line,Controls Functioning,Driver Error,51-60 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,Complaint,Clear,Other,Front ,45-54,Fatigued/Illness,Female,Driver Condition,Signal ,Controls Functioning,Driver Error,41-50 mph
Peak,Full Control,Straight-Level,Violations,Dark - Continuous Street Light,Other,Head-On,One-Way Road,Complaint,Clear,Other,Front ,55-64,Distracted,Male,Driver Violation,Sign,Controls Functioning,Other,21-30 mph
Peak,No Control,Straight-Level,Violations,Dusk/Dawn,Business,Right Turn,Two-Way Road With A Physical Separation,Severe,Clear,Other,Left,25-34,Distracted,Male,Driver Violation,Other,Controls Functioning,Other,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Left Turn,One-Way Road,No Injury,Clear,Other,Left,45-54,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Other,Dark - No Street Lights,Business,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,No Injury,Cloudy,Other,Front ,65-74,Normal,Male,Other,White Dashed Line,Controls Functioning,No Violations,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Other,Head-On,Two-Way Road With No Physical Separation,Severe,Clear,Other,Front ,25-34,Distracted,Male,Driver Violation,Yellow Dashed Line,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Sideswipe,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Left,15-24,Distracted,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,51-60 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Sideswipe,Two-Way Road With No Physical Separation,Complaint,Cloudy,Other,Right ,45-54,Distracted,Male,Driver Violation,Sign,Controls Functioning,Driver Error,41-50 mph
Off-peak,Full Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Business,Head-On,Two-Way Road With A Physical Barrier,Moderate,Clear,Other,Rear ,15-24,Distracted,Female,Other,White Dashed Line,Controls Functioning,Driver Error,51-60 mph
Off-peak,Full Control,Straight-Level,Violations,Dark - No Street Lights,Other,Head-On,Two-Way Road With A Physical Barrier,Fatal,Clear,Other,Front ,35-44,Impaired,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Condition,61-70 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Front ,25-34,Distracted,Female,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,15-24,Impaired,Male,Driver Condition,Yellow No Passing Line,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Dusk/Dawn,Business,Left Turn,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Rear ,55-64,Distracted,Male,Driver Violation,Yellow Dashed Line,Controls Functioning,Driver Condition,31-40 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - No Street Lights,Residential ,Head-On,Two-Way Road With A Physical Separation,Moderate,Clear,Other,Front ,25-34,Impaired,Female,Driver Condition,White Dashed Line,Controls Functioning,Driver Condition,61-70 mph
Peak,No Control,On Grade,Violations,Daylight,Residential ,Head-On,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,15-24,Distracted,Male,Driver Violation,Other,No Controls,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Daylight,Other,Right Angle,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Right ,65-74,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Condition Of Driver,Daylight,Business,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,Complaint,Cloudy,Other,Front ,35-44,Impaired,Female,Driver Condition,White Dashed Line,Controls Functioning,Driver Condition,21-30 mph
